stazione_id;data;inquinante;valore
"2";2024-12-24;C6H6;0.5
"2";2024-12-24;NO2;52
"2";2024-12-24;O3;76
"2";2024-12-24;PM10;6
"2";2024-12-24;PM25;3
"2";2024-12-24;SO2;5
"3";2024-12-24;NO2;78
"4";2024-12-24;C6H6;0.5
"4";2024-12-24;CO_8h;0.9
"4";2024-12-24;NO2;59
"4";2024-12-24;PM10;13
"4";2024-12-24;PM25;8
"6";2024-12-24;C6H6;0.5
"6";2024-12-24;CO_8h;0.7
"6";2024-12-24;NO2;93
"6";2024-12-24;PM10;12
"6";2024-12-24;PM25;6
"7";2024-12-24;NO2;89
"7";2024-12-24;O3;61
"7";2024-12-24;PM10;14
"2";2024-12-23;C6H6;2.4
"2";2024-12-23;NO2;48
"2";2024-12-23;O3;5
"2";2024-12-23;PM10;39
"2";2024-12-23;PM25;29
"2";2024-12-23;SO2;6
"3";2024-12-23;NO2;66
"4";2024-12-23;C6H6;2.7
"4";2024-12-23;CO_8h;1.4
"4";2024-12-23;NO2;61
"4";2024-12-23;PM10;51
"4";2024-12-23;PM25;37
"6";2024-12-23;C6H6;3.3
"6";2024-12-23;CO_8h;1
"6";2024-12-23;NO2;91
"6";2024-12-23;PM10;40
"6";2024-12-23;PM25;28
"7";2024-12-23;NO2;79
"7";2024-12-23;O3;4
"7";2024-12-23;PM10;44
"2";2024-12-20;C6H6;2.4
"2";2024-12-20;NO2;26
"2";2024-12-20;O3;5
"2";2024-12-20;PM10;31
"2";2024-12-20;PM25;21
"2";2024-12-20;SO2;6
"3";2024-12-20;NO2;51
"4";2024-12-20;C6H6;2.8
"4";2024-12-20;CO_8h;1.6
"4";2024-12-20;NO2;44
"4";2024-12-20;PM10;46
"4";2024-12-20;PM25;40
"6";2024-12-20;C6H6;3.3
"6";2024-12-20;CO_8h;1.1
"6";2024-12-20;NO2;54
"6";2024-12-20;PM10;30
"6";2024-12-20;PM25;24
"7";2024-12-20;NO2;50
"7";2024-12-20;O3;3
"7";2024-12-20;PM10;37
"2";2024-12-19;C6H6;3.4
"2";2024-12-19;NO2;38
"2";2024-12-19;O3;5
"2";2024-12-19;PM10;53
"2";2024-12-19;PM25;35
"2";2024-12-19;SO2;7
"3";2024-12-19;NO2;58
"4";2024-12-19;C6H6;3.1
"4";2024-12-19;CO_8h;1.6
"4";2024-12-19;NO2;52
"4";2024-12-19;PM10;61
"4";2024-12-19;PM25;47
"6";2024-12-19;C6H6;4.7
"6";2024-12-19;CO_8h;1.2
"6";2024-12-19;NO2;58
"6";2024-12-19;PM10;53
"6";2024-12-19;PM25;40
"7";2024-12-19;NO2;61
"7";2024-12-19;O3;2
"7";2024-12-19;PM10;53
"2";2024-12-18;C6H6;4.7
"2";2024-12-18;NO2;102
"2";2024-12-18;O3;35
"2";2024-12-18;PM10;64
"2";2024-12-18;PM25;41
"2";2024-12-18;SO2;11
"3";2024-12-18;NO2;147
"4";2024-12-18;C6H6;3.8
"4";2024-12-18;CO_8h;3.7
"4";2024-12-18;NO2;74
"4";2024-12-18;PM10;70
"4";2024-12-18;PM25;45
"6";2024-12-18;C6H6;6.4
"6";2024-12-18;CO_8h;2
"6";2024-12-18;NO2;107
"6";2024-12-18;PM10;
"6";2024-12-18;PM25;
"7";2024-12-18;NO2;121
"7";2024-12-18;O3;23
"7";2024-12-18;PM10;64
"2";2024-12-17;C6H6;4.4
"2";2024-12-17;NO2;82
"2";2024-12-17;O3;5
"2";2024-12-17;PM10;66
"2";2024-12-17;PM25;40
"2";2024-12-17;SO2;9
"3";2024-12-17;NO2;110
"4";2024-12-17;C6H6;4.5
"4";2024-12-17;CO_8h;3.7
"4";2024-12-17;NO2;97
"4";2024-12-17;PM10;82
"4";2024-12-17;PM25;54
"6";2024-12-17;C6H6;6.3
"6";2024-12-17;CO_8h;1.9
"6";2024-12-17;NO2;103
"6";2024-12-17;PM10;56
"6";2024-12-17;PM25;60
"7";2024-12-17;NO2;93
"7";2024-12-17;O3;3
"7";2024-12-17;PM10;61
"2";2024-12-16;C6H6;2.5
"2";2024-12-16;NO2;20
"2";2024-12-16;O3;11
"2";2024-12-16;PM10;39
"2";2024-12-16;PM25;29
"2";2024-12-16;SO2;6
"3";2024-12-16;NO2;48
"4";2024-12-16;C6H6;2.3
"4";2024-12-16;CO_8h;1.2
"4";2024-12-16;NO2;43
"4";2024-12-16;PM10;48
"4";2024-12-16;PM25;42
"6";2024-12-16;C6H6;3.2
"6";2024-12-16;CO_8h;1.1
"6";2024-12-16;NO2;57
"6";2024-12-16;PM10;41
"6";2024-12-16;PM25;35
"7";2024-12-16;NO2;56
"7";2024-12-16;O3;5
"7";2024-12-16;PM10;43
"2";2024-12-13;C6H6;2.4
"2";2024-12-13;NO2;37
"2";2024-12-13;O3;16
"2";2024-12-13;PM10;45
"2";2024-12-13;PM25;27
"2";2024-12-13;SO2;7
"3";2024-12-13;NO2;84
"4";2024-12-13;C6H6;3.2
"4";2024-12-13;CO_8h;2.1
"4";2024-12-13;NO2;64
"4";2024-12-13;PM10;64
"4";2024-12-13;PM25;45
"6";2024-12-13;C6H6;3.7
"6";2024-12-13;CO_8h;1.1
"6";2024-12-13;NO2;58
"6";2024-12-13;PM10;46
"6";2024-12-13;PM25;24
"7";2024-12-13;NO2;60
"7";2024-12-13;O3;8
"7";2024-12-13;PM10;47
"2";2024-12-12;C6H6;2.7
"2";2024-12-12;NO2;43
"2";2024-12-12;O3;38
"2";2024-12-12;PM10;38
"2";2024-12-12;PM25;26
"2";2024-12-12;SO2;7
"3";2024-12-12;NO2;75
"4";2024-12-12;C6H6;4.4
"4";2024-12-12;CO_8h;1.9
"4";2024-12-12;NO2;92
"4";2024-12-12;PM10;49
"4";2024-12-12;PM25;29
"6";2024-12-12;C6H6;3.7
"6";2024-12-12;CO_8h;1
"6";2024-12-12;NO2;76
"6";2024-12-12;PM10;37
"6";2024-12-12;PM25;24
"7";2024-12-12;NO2;82
"7";2024-12-12;O3;27
"7";2024-12-12;PM10;34
"2";2024-12-11;C6H6;2.3
"2";2024-12-11;NO2;40
"2";2024-12-11;O3;19
"2";2024-12-11;PM10;41
"2";2024-12-11;PM25;29
"2";2024-12-11;SO2;6
"3";2024-12-11;NO2;65
"4";2024-12-11;C6H6;3.1
"4";2024-12-11;CO_8h;1.3
"4";2024-12-11;NO2;80
"4";2024-12-11;PM10;50
"4";2024-12-11;PM25;36
"6";2024-12-11;C6H6;3.3
"6";2024-12-11;CO_8h;0.9
"6";2024-12-11;NO2;71
"6";2024-12-11;PM10;42
"6";2024-12-11;PM25;27
"7";2024-12-11;NO2;71
"7";2024-12-11;O3;12
"7";2024-12-11;PM10;40
"2";2024-12-10;C6H6;1.1
"2";2024-12-10;NO2;38
"2";2024-12-10;O3;36
"2";2024-12-10;PM10;22
"2";2024-12-10;PM25;14
"2";2024-12-10;SO2;5
"3";2024-12-10;NO2;62
"4";2024-12-10;C6H6;1.7
"4";2024-12-10;CO_8h;1
"4";2024-12-10;NO2;70
"4";2024-12-10;PM10;27
"4";2024-12-10;PM25;18
"6";2024-12-10;C6H6;1.5
"6";2024-12-10;CO_8h;0.5
"6";2024-12-10;NO2;61
"6";2024-12-10;PM10;21
"6";2024-12-10;PM25;
"7";2024-12-10;NO2;59
"7";2024-12-10;O3;40
"7";2024-12-10;PM10;19
"2";2024-12-09;C6H6;1.5
"2";2024-12-09;NO2;28
"2";2024-12-09;O3;24
"2";2024-12-09;PM10;34
"2";2024-12-09;PM25;26
"2";2024-12-09;SO2;5
"3";2024-12-09;NO2;53
"4";2024-12-09;C6H6;2
"4";2024-12-09;CO_8h;0.9
"4";2024-12-09;NO2;53
"4";2024-12-09;PM10;42
"4";2024-12-09;PM25;35
"6";2024-12-09;C6H6;1.8
"6";2024-12-09;CO_8h;0.6
"6";2024-12-09;NO2;51
"6";2024-12-09;PM10;30
"6";2024-12-09;PM25;22
"7";2024-12-09;NO2;51
"7";2024-12-09;O3;26
"7";2024-12-09;PM10;36
"2";2024-12-06;C6H6;2.9
"2";2024-12-06;NO2;72
"2";2024-12-06;O3;34
"2";2024-12-06;PM10;42
"2";2024-12-06;PM25;26
"2";2024-12-06;SO2;7
"3";2024-12-06;NO2;90
"4";2024-12-06;C6H6;4.8
"4";2024-12-06;CO_8h;2.2
"4";2024-12-06;NO2;81
"4";2024-12-06;PM10;59
"4";2024-12-06;PM25;37
"6";2024-12-06;C6H6;3.3
"6";2024-12-06;CO_8h;1
"6";2024-12-06;NO2;67
"6";2024-12-06;PM10;37
"6";2024-12-06;PM25;17
"7";2024-12-06;NO2;76
"7";2024-12-06;O3;22
"7";2024-12-06;PM10;42
"2";2024-12-05;C6H6;3.1
"2";2024-12-05;NO2;81
"2";2024-12-05;O3;43
"2";2024-12-05;PM10;50
"2";2024-12-05;PM25;32
"2";2024-12-05;SO2;8
"3";2024-12-05;NO2;97
"4";2024-12-05;C6H6;4.8
"4";2024-12-05;CO_8h;2
"4";2024-12-05;NO2;95
"4";2024-12-05;PM10;65
"4";2024-12-05;PM25;43
"6";2024-12-05;C6H6;4.1
"6";2024-12-05;CO_8h;1.1
"6";2024-12-05;NO2;88
"6";2024-12-05;PM10;46
"6";2024-12-05;PM25;24
"7";2024-12-05;NO2;115
"7";2024-12-05;O3;34
"7";2024-12-05;PM10;54
"2";2024-12-04;C6H6;3.4
"2";2024-12-04;NO2;
"2";2024-12-04;O3;21
"2";2024-12-04;PM10;59
"2";2024-12-04;PM25;43
"2";2024-12-04;SO2;8
"3";2024-12-04;NO2;90
"4";2024-12-04;C6H6;5.7
