DATE,NO2
2020-01-02,94.0
2020-01-03,85.0
2020-01-07,74.0
2020-01-08,79.0
2020-01-09,78.0
2020-01-10,120.0
2020-01-13,129.0
2020-01-14,118.0
2020-01-15,128.0
2020-01-16,73.0
2020-01-17,118.0
2020-01-20,76.0
2020-01-21,108.0
2020-01-22,129.0
2020-01-23,109.0
2020-01-24,115.0
2020-01-27,78.0
2020-01-28,137.0
2020-01-29,71.0
2020-01-30,102.0
2020-01-31,110.0
2020-02-03,61.0
2020-02-04,119.0
2020-02-05,56.0
2020-02-06,87.0
2020-02-07,102.0
2020-02-10,107.0
2020-02-11,85.0
2020-02-12,89.0
2020-02-13,101.0
2020-02-14,89.0
2020-02-17,85.0
2020-02-18,80.0
2020-02-19,83.0
2020-02-20,89.0
2020-02-24,71.0
2020-02-25,72.0
2020-02-26,88.0
2020-02-27,61.0
2020-02-28,81.0
2020-03-02,40.0
2020-03-03,66.0
2020-03-04,76.0
2020-03-05,100.0
2020-03-06,75.0
2020-03-09,73.0
2020-03-10,78.0
2020-03-11,80.0
2020-03-12,83.0
2020-03-13,78.0
2020-03-16,53.0
2020-03-17,61.0
2020-03-18,71.0
2020-03-19,106.0
2020-03-20,102.0
2020-03-23,29.0
2020-03-24,37.0
2020-03-25,63.0
2020-03-26,44.0
2020-03-27,39.0
2020-03-30,52.0
2020-03-31,52.0
2020-04-01,27.0
2020-04-02,56.0
2020-04-03,66.0
2020-04-06,58.0
2020-04-07,81.0
2020-04-08,81.0
2020-04-09,88.0
2020-04-10,85.0
2020-04-14,36.0
2020-04-15,28.0
2020-04-16,31.0
2020-04-17,62.0
2020-04-20,21.0
2020-04-21,29.0
2020-04-22,35.0
2020-04-23,52.0
2020-04-24,55.0
2020-04-27,11.0
2020-04-28,26.0
2020-04-29,52.0
2020-04-30,31.0
2020-05-04,15.0
2020-05-05,53.0
2020-05-06,43.0
2020-05-07,35.0
2020-05-08,55.0
2020-05-11,15.0
2020-05-12,46.0
2020-05-13,36.0
2020-05-14,51.0
2020-05-15,33.0
2020-05-18,25.0
2020-05-19,42.0
2020-05-20,56.0
2020-05-21,46.0
2020-05-22,57.0
2020-05-25,30.0
2020-05-26,63.0
2020-05-27,37.0
2020-05-28,47.0
2020-05-29,62.0
2020-06-03,29.0
2020-06-04,57.0
2020-06-05,51.0
2020-06-08,17.0
2020-06-09,47.0
2020-06-10,45.0
2020-06-11,44.0
2020-06-12,62.0
2020-06-15,30.0
2020-06-16,41.0
2020-06-17,40.0
2020-06-18,60.0
2020-06-19,42.0
2020-06-22,33.0
2020-06-23,63.0
2020-06-24,68.0
2020-06-25,59.0
2020-06-26,51.0
2020-06-29,21.0
2020-06-30,40.0
2020-07-01,41.0
2020-07-02,49.0
2020-07-03,41.0
2020-07-06,54.0
2020-07-07,50.0
2020-07-08,36.0
2020-07-09,50.0
2020-07-10,60.0
2020-07-13,16.0
2020-07-14,45.0
2020-07-15,47.0
2020-07-16,60.0
2020-07-17,53.0
2020-07-20,36.0
2020-07-21,41.0
2020-07-22,44.0
2020-07-23,50.0
2020-07-24,44.0
2020-07-27,26.0
2020-07-28,50.0
2020-07-29,65.0
2020-07-30,44.0
2020-07-31,54.0
2020-08-03,16.0
2020-08-04,52.0
2020-08-05,58.0
2020-08-06,55.0
2020-08-07,51.0
2020-08-24,21.0
2020-08-25,37.0
2020-08-26,31.0
2020-08-27,46.0
2020-08-28,51.0
2020-08-31,18.0
2020-09-01,36.0
2020-09-02,43.0
2020-09-03,54.0
2020-09-04,76.0
2020-09-07,36.0
2020-09-08,51.0
2020-09-09,75.0
2020-09-10,81.0
2020-09-11,74.0
2020-09-14,56.0
2020-09-15,89.0
2020-09-16,78.0
2020-09-17,84.0
2020-09-18,74.0
2020-09-21,52.0
2020-09-22,65.0
2020-09-23,59.0
2020-09-24,61.0
2020-09-25,69.0
2020-09-28,36.0
2020-09-29,76.0
2020-09-30,70.0
2020-10-01,67.0
2020-10-02,72.0
2020-10-05,31.0
2020-10-06,58.0
2020-10-07,61.0
2020-10-08,62.0
2020-10-09,90.0
2020-10-12,24.0
2020-10-13,73.0
2020-10-14,95.0
2020-10-15,81.0
2020-10-16,65.0
2020-10-19,78.0
2020-10-20,77.0
2020-10-21,68.0
2020-10-22,71.0
2020-10-23,51.0
2020-10-26,53.0
2020-10-27,55.0
2020-10-28,77.0
2020-10-29,87.0
2020-10-30,76.0
2020-11-02,47.0
2020-11-03,52.0
2020-11-04,48.0
2020-11-05,47.0
2020-11-06,68.0
2020-11-09,72.0
2020-11-10,88.0
2020-11-11,80.0
2020-11-12,70.0
2020-11-13,69.0
2020-11-16,41.0
2020-11-17,59.0
2020-11-18,92.0
2020-11-19,60.0
2020-11-20,75.0
2020-11-23,63.0
2020-11-24,95.0
2020-11-25,108.0
2020-11-26,135.0
2020-11-27,129.0
2020-11-30,71.0
2020-12-01,66.0
2020-12-02,62.0
2020-12-03,67.0
2020-12-04,72.0
2020-12-09,59.0
2020-12-10,72.0
2020-12-11,76.0
2020-12-14,84.0
2020-12-15,115.0
2020-12-16,123.0
2020-12-17,58.0
2020-12-18,77.0
2020-12-21,48.0
2020-12-22,49.0
2020-12-23,54.0
2020-12-24,65.0
2020-12-28,51.0
2020-12-29,58.0
2020-12-30,79.0
2020-12-31,74.0
2021-01-04,60.0
2021-01-05,66.0
2021-01-07,48.0
2021-01-08,70.0
2021-01-11,79.0
2021-01-12,105.0
2021-01-13,87.0
2021-01-14,109.0
2021-01-15,82.0
2021-01-18,74.0
2021-01-20,117.0
2021-01-21,70.0
2021-01-22,79.0
2021-01-25,76.0
2021-01-26,96.0
2021-01-27,88.0
2021-01-28,100.0
2021-01-29,83.0
2021-02-01,
2021-02-02,
2021-02-03,68.0
2021-02-04,71.0
2021-02-05,57.0
2021-02-08,43.0
2021-02-09,79.0
2021-02-10,72.0
2021-02-11,68.0
2021-02-12,69.0
2021-02-15,64.0
2021-02-16,91.0
2021-02-17,98.0
2021-02-18,93.0
2021-02-19,64.0
2021-02-22,45.0
2021-02-23,81.0
2021-02-24,105.0
2021-02-25,112.0
2021-02-26,130.0
2021-03-01,52.0
2021-03-02,95.0
2021-03-03,101.0
2021-03-04,114.0
2021-03-05,88.0
2021-03-08,64.0
2021-03-09,67.0
2021-03-10,81.0
2021-03-11,81.0
2021-03-12,87.0
2021-03-15,59.0
2021-03-16,70.0
2021-03-17,52.0
2021-03-18,82.0
2021-03-19,51.0
2021-03-22,35.0
2021-03-23,85.0
2021-03-24,61.0
2021-03-25,83.0
2021-03-26,73.0
2021-03-29,
2021-03-30,
2021-03-31,100.0
2021-04-01,
2021-04-02,
2021-04-06,25.0
2021-04-07,62.0
2021-04-12,28.0
2021-04-13,61.0
2021-04-14,70.0
2021-04-15,66.0
2021-04-16,52.0
2021-04-19,33.0
2021-04-20,62.0
2021-04-21,75.0
2021-04-22,55.0
2021-04-23,65.0
2021-04-26,36.0
2021-04-27,52.0
2021-04-28,45.0
2021-04-29,50.0
2021-04-30,55.0
2021-05-03,26.0
2021-05-04,40.0
2021-05-05,70.0
2021-05-06,51.0
2021-05-07,56.0
2021-05-10,33.0
2021-05-11,57.0
2021-05-12,56.0
2021-05-13,39.0
2021-05-14,
2021-05-17,27.0
2021-05-18,56.0
2021-05-19,63.0
2021-05-20,55.0
2021-05-21,69.0
2021-05-24,21.0
2021-05-25,39.0
2021-05-27,38.0
2021-05-28,46.0
2021-05-31,18.0
2021-06-01,43.0
2021-06-03,23.0
2021-06-04,
2021-06-07,
2021-06-08,
2021-06-09,52.0
2021-06-10,58.0
2021-06-11,54.0
2021-06-14,32.0
2021-06-15,45.0
2021-06-16,42.0
2021-06-17,52.0
2021-06-18,51.0
2021-06-21,35.0
2021-06-22,47.0
2021-06-23,35.0
2021-06-24,30.0
2021-06-25,56.0
2021-06-28,50.0
2021-06-29,75.0
2021-06-30,47.0
2021-07-01,33.0
2021-07-02,38.0
2021-07-05,24.0
2021-07-06,34.0
2021-07-07,62.0
2021-07-08,36.0
2021-07-09,52.0
2021-07-12,35.0
2021-07-13,48.0
2021-07-14,31.0
2021-07-15,46.0
2021-07-16,47.0
2021-07-19,50.0
2021-07-20,61.0
2021-07-21,52.0
2021-07-23,35.0
2021-07-26,20.0
2021-07-27,49.0
2021-07-28,42.0
2021-07-29,40.0
2021-07-30,45.0
2021-08-02,26.0
2021-08-03,34.0
2021-08-04,38.0
2021-08-05,45.0
2021-08-06,25.0
2021-08-09,23.0
2021-08-10,24.0
2021-08-11,46.0
2021-08-12,40.0
2021-08-23,25.0
