DATE,NO2,TRANSITS,TEMPERATURE C,WIND km/h,RAIN
2020-01-02,94.0,82305.0,2.0,5,False
2020-01-03,85.0,87964.0,3.0,3,False
2020-01-07,74.0,127221.0,0.0,6,False
2020-01-08,79.0,135314.0,1.0,6,True
2020-01-09,78.0,140400.0,1.0,4,False
2020-01-10,120.0,146442.0,5.0,4,False
2020-01-13,129.0,140455.0,1.0,3,False
2020-01-14,118.0,146323.0,3.0,5,False
2020-01-15,128.0,142983.0,5.0,4,True
2020-01-16,73.0,148769.0,5.0,4,False
2020-01-17,118.0,147611.0,5.0,5,True
2020-01-20,76.0,139354.0,4.0,6,False
2020-01-21,108.0,145881.0,2.0,4,False
2020-01-22,129.0,148606.0,3.0,5,False
2020-01-23,109.0,152894.0,3.0,5,False
2020-01-24,115.0,151895.0,4.0,4,True
2020-01-27,78.0,143368.0,5.0,4,True
2020-01-28,137.0,143817.0,7.0,6,True
2020-01-29,71.0,148847.0,7.0,8,False
2020-01-30,102.0,154233.0,6.0,5,False
2020-01-31,110.0,152933.0,7.0,5,False
2020-02-03,61.0,137631.0,6.0,8,False
2020-02-04,119.0,147062.0,9.0,19,False
2020-02-05,56.0,149773.0,9.0,19,False
2020-02-06,87.0,153464.0,5.0,5,False
2020-02-07,102.0,153008.0,5.0,5,False
2020-02-10,107.0,138717.0,7.0,5,True
2020-02-11,85.0,149500.0,10.0,9,False
2020-02-12,89.0,154523.0,10.0,8,False
2020-02-13,101.0,159268.0,7.0,7,True
2020-02-14,89.0,160455.0,8.0,8,True
2020-02-17,85.0,141153.0,10.0,3,True
2020-02-18,80.0,155438.0,10.0,6,True
2020-02-19,83.0,164131.0,8.0,7,False
2020-02-20,89.0,168728.0,7.0,6,False
2020-02-24,71.0,126466.0,13.0,13,False
2020-02-25,72.0,121882.0,11.0,3,False
2020-02-26,88.0,120868.0,10.0,17,False
2020-02-27,61.0,118219.0,8.0,8,False
2020-02-28,81.0,115391.0,10.0,12,False
2020-03-02,40.0,115067.0,5.0,11,True
2020-03-03,66.0,125969.0,8.0,8,True
2020-03-04,76.0,125104.0,8.0,6,False
2020-03-05,100.0,124203.0,7.0,9,True
2020-03-06,75.0,119181.0,7.0,8,True
2020-03-09,73.0,95263.0,8.0,6,True
2020-03-10,78.0,81263.0,10.0,8,False
2020-03-11,80.0,72874.0,12.0,6,False
2020-03-12,83.0,58452.0,11.0,4,False
2020-03-13,78.0,55654.0,15.0,9,False
2020-03-16,53.0,49946.0,9.0,4,False
2020-03-17,61.0,47569.0,10.0,4,False
2020-03-18,71.0,46948.0,12.0,4,False
2020-03-19,106.0,44680.0,13.0,4,False
2020-03-20,102.0,46103.0,12.0,5,False
2020-03-23,29.0,38383.0,6.0,17,False
2020-03-24,37.0,36339.0,6.0,6,False
2020-03-25,63.0,35269.0,6.0,10,True
2020-03-26,44.0,32350.0,5.0,6,False
2020-03-27,39.0,33586.0,10.0,8,False
2020-03-30,52.0,32642.0,12.0,14,True
2020-03-31,52.0,32370.0,6.0,15,True
2020-04-01,27.0,32412.0,7.0,7,False
2020-04-02,56.0,31319.0,9.0,4,False
2020-04-03,66.0,33326.0,9.0,5,False
2020-04-06,58.0,33841.0,14.0,5,False
2020-04-07,81.0,33983.0,15.0,6,False
2020-04-08,81.0,47826.0,15.0,6,False
2020-04-09,88.0,44320.0,16.0,4,False
2020-04-10,85.0,45503.0,16.0,4,False
2020-04-14,36.0,48361.0,17.0,20,False
2020-04-15,28.0,41442.0,12.0,10,False
2020-04-16,31.0,36787.0,13.0,5,False
2020-04-17,62.0,37300.0,16.0,6,False
2020-04-20,21.0,38038.0,14.0,11,True
2020-04-21,29.0,39047.0,13.0,9,True
2020-04-22,35.0,38981.0,15.0,8,False
2020-04-23,52.0,38962.0,15.0,6,False
2020-04-24,55.0,41103.0,17.0,7,False
2020-04-27,11.0,41397.0,18.0,6,False
2020-04-28,26.0,43026.0,17.0,8,True
2020-04-29,52.0,44980.0,18.0,9,True
2020-04-30,31.0,49564.0,16.0,8,True
2020-05-04,15.0,70660.0,19.0,8,False
2020-05-05,53.0,73155.0,19.0,8,False
2020-05-06,43.0,76190.0,19.0,13,False
2020-05-07,35.0,75096.0,19.0,7,False
2020-05-08,55.0,77403.0,21.0,7,False
2020-05-11,15.0,80119.0,16.0,14,True
2020-05-12,46.0,86598.0,18.0,6,True
2020-05-13,36.0,83052.0,15.0,11,True
2020-05-14,51.0,88245.0,19.0,7,True
2020-05-15,33.0,88582.0,18.0,10,True
2020-05-18,25.0,101822.0,22.0,7,False
2020-05-19,42.0,105288.0,20.0,7,True
2020-05-20,56.0,109041.0,21.0,7,False
2020-05-21,46.0,110431.0,22.0,8,False
2020-05-22,57.0,114168.0,23.0,7,False
2020-05-25,30.0,105434.0,22.0,8,False
2020-05-26,63.0,114877.0,21.0,11,False
2020-05-27,37.0,117404.0,20.0,9,False
2020-05-28,47.0,120965.0,21.0,6,False
2020-05-29,62.0,124235.0,18.0,13,False
2020-06-03,29.0,118119.0,21.0,8,True
2020-06-04,57.0,123914.0,17.0,12,True
2020-06-05,51.0,127268.0,20.0,8,True
2020-06-08,17.0,128524.0,17.0,7,True
2020-06-09,47.0,128728.0,18.0,7,True
2020-06-10,45.0,131729.0,18.0,7,True
2020-06-11,44.0,134714.0,17.0,8,True
2020-06-12,62.0,131517.0,20.0,5,False
2020-06-15,30.0,116926.0,22.0,8,True
2020-06-16,41.0,119296.0,22.0,7,True
2020-06-17,40.0,120591.0,20.0,6,True
2020-06-18,60.0,123193.0,21.0,8,True
2020-06-19,42.0,115006.0,21.0,8,True
