DATE,TRANSITS
2020-01-01,71815
2020-01-02,82305
2020-01-03,87964
2020-01-04,94752
2020-01-05,95889
2020-01-06,99461
2020-01-07,127221
2020-01-08,135314
2020-01-09,140400
2020-01-10,146442
2020-01-11,135515
2020-01-12,111889
2020-01-13,140455
2020-01-14,146323
2020-01-15,142983
2020-01-16,148769
2020-01-17,147611
2020-01-18,132431
2020-01-19,105930
2020-01-20,139354
2020-01-21,145881
2020-01-22,148606
2020-01-23,152894
2020-01-24,151895
2020-01-25,133625
2020-01-26,107222
2020-01-27,143368
2020-01-28,143817
2020-01-29,148847
2020-01-30,154233
2020-01-31,152933
2020-02-01,128397
2020-02-02,79986
2020-02-03,137631
2020-02-04,147062
2020-02-05,149773
2020-02-06,153464
2020-02-07,153008
2020-02-08,131662
2020-02-09,105809
2020-02-10,138717
2020-02-11,149500
2020-02-12,154523
2020-02-13,159268
2020-02-14,160455
2020-02-15,134234
2020-02-16,109325
2020-02-17,141153
2020-02-18,155438
2020-02-19,164131
2020-02-20,168728
2020-02-21,166635
2020-02-22,136330
2020-02-23,101321
2020-02-24,126466
2020-02-25,121882
2020-02-26,120868
2020-02-27,118219
2020-02-28,115391
2020-02-29,97128
2020-03-01,76762
2020-03-02,115067
2020-03-03,125969
2020-03-04,125104
2020-03-05,124203
2020-03-06,119181
2020-03-07,92919
2020-03-08,62084
2020-03-09,95263
2020-03-10,81263
2020-03-11,72874
2020-03-12,58452
2020-03-13,55654
2020-03-14,31755
2020-03-15,23792
2020-03-16,49946
2020-03-17,47569
2020-03-18,46948
2020-03-19,44680
2020-03-20,46103
2020-03-21,22641
2020-03-22,13601
2020-03-23,38383
2020-03-24,36339
2020-03-25,35269
2020-03-26,32350
2020-03-27,33586
2020-03-28,17786
2020-03-29,13078
2020-03-30,32642
2020-03-31,32370
2020-04-01,32412
2020-04-02,31319
2020-04-03,33326
2020-04-04,18901
2020-04-05,12179
2020-04-06,33841
2020-04-07,33983
2020-04-08,47826
2020-04-09,44320
2020-04-10,45503
2020-04-11,31383
2020-04-12,16590
2020-04-13,21914
2020-04-14,48361
2020-04-15,41442
2020-04-16,36787
2020-04-17,37300
2020-04-18,21306
2020-04-19,12647
2020-04-20,38038
2020-04-21,39047
2020-04-22,38981
2020-04-23,38962
2020-04-24,41103
2020-04-25,24152
2020-04-26,13680
2020-04-27,41397
2020-04-28,43026
2020-04-29,44980
2020-04-30,49564
2020-05-01,24097
2020-05-02,26930
2020-05-03,17816
2020-05-04,70660
2020-05-05,73155
2020-05-06,76190
2020-05-07,75096
2020-05-08,77403
2020-05-09,49545
2020-05-10,36740
2020-05-11,80119
2020-05-12,86598
2020-05-13,83052
2020-05-14,88245
2020-05-15,88582
2020-05-16,58424
2020-05-17,43280
2020-05-18,101822
2020-05-19,105288
2020-05-20,109041
2020-05-21,110431
2020-05-22,114168
2020-05-23,88479
2020-05-24,65120
2020-05-25,105434
2020-05-26,114877
2020-05-27,117404
2020-05-28,120965
2020-05-29,124235
2020-05-30,97283
2020-05-31,67241
2020-06-01,99187
2020-06-02,70115
2020-06-03,118119
2020-06-04,123914
2020-06-05,127268
2020-06-06,100743
2020-06-07,70653
2020-06-08,128524
2020-06-09,128728
2020-06-10,131729
2020-06-11,134714
2020-06-12,131517
2020-06-13,96219
2020-06-14,76442
2020-06-15,116926
2020-06-16,119296
2020-06-17,120591
2020-06-18,123193
2020-06-19,115006
2020-06-20,90952
2020-06-21,69167
2020-06-22,113841
2020-06-23,116655
2020-06-24,121573
2020-06-25,121928
2020-06-26,112803
2020-06-27,88400
2020-06-28,66485
2020-06-29,116090
2020-06-30,121396
2020-07-01,121578
2020-07-02,120430
2020-07-03,107612
2020-07-04,84069
2020-07-05,64215
