DATE,TEMPERATURE C,WIND km/h,RAIN
2020-01-01,2.0,4,False
2020-01-02,2.0,5,False
2020-01-03,3.0,3,False
2020-01-04,5.0,6,False
2020-01-05,5.0,4,False
2020-01-06,1.0,5,False
2020-01-07,0.0,6,False
2020-01-08,1.0,6,True
2020-01-09,1.0,4,False
2020-01-10,5.0,4,False
2020-01-11,3.0,3,True
2020-01-12,3.0,3,False
2020-01-13,1.0,3,False
2020-01-14,3.0,5,False
2020-01-15,5.0,4,True
2020-01-16,5.0,4,False
2020-01-17,5.0,5,True
2020-01-18,6.0,6,True
2020-01-19,4.0,6,False
2020-01-20,4.0,6,False
2020-01-21,2.0,4,False
2020-01-22,3.0,5,False
2020-01-23,3.0,5,False
2020-01-24,4.0,4,True
2020-01-25,5.0,4,True
2020-01-26,6.0,5,False
2020-01-27,5.0,4,True
2020-01-28,7.0,6,True
2020-01-29,7.0,8,False
2020-01-30,6.0,5,False
2020-01-31,7.0,5,False
2020-02-01,8.0,6,True
2020-02-02,5.0,6,False
2020-02-03,6.0,8,False
2020-02-04,9.0,19,False
2020-02-05,9.0,19,False
2020-02-06,5.0,5,False
2020-02-07,5.0,5,False
2020-02-08,6.0,4,False
2020-02-09,4.0,4,True
2020-02-10,7.0,5,True
2020-02-11,10.0,9,False
2020-02-12,10.0,8,False
2020-02-13,7.0,7,True
2020-02-14,8.0,8,True
2020-02-15,7.0,5,False
2020-02-16,8.0,4,False
2020-02-17,10.0,3,True
2020-02-18,10.0,6,True
2020-02-19,8.0,7,False
2020-02-20,7.0,6,False
2020-02-21,8.0,6,False
2020-02-22,8.0,4,False
2020-02-23,10.0,10,False
2020-02-24,13.0,13,False
2020-02-25,11.0,3,False
2020-02-26,10.0,17,False
2020-02-27,8.0,8,False
2020-02-28,10.0,12,False
2020-02-29,7.0,6,True
2020-03-01,7.0,5,True
2020-03-02,5.0,11,True
2020-03-03,8.0,8,True
2020-03-04,8.0,6,False
2020-03-05,7.0,9,True
2020-03-06,7.0,8,True
2020-03-07,9.0,7,False
2020-03-08,9.0,5,False
2020-03-09,8.0,6,True
2020-03-10,10.0,8,False
2020-03-11,12.0,6,False
2020-03-12,11.0,4,False
2020-03-13,15.0,9,False
2020-03-14,10.0,10,True
2020-03-15,8.0,6,False
2020-03-16,9.0,4,False
2020-03-17,10.0,4,False
2020-03-18,12.0,4,False
2020-03-19,13.0,4,False
2020-03-20,12.0,5,False
2020-03-21,13.0,6,False
2020-03-22,12.0,14,True
2020-03-23,6.0,17,False
2020-03-24,6.0,6,False
2020-03-25,6.0,10,True
2020-03-26,5.0,6,False
2020-03-27,10.0,8,False
2020-03-28,13.0,6,False
2020-03-29,14.0,7,True
2020-03-30,12.0,14,True
2020-03-31,6.0,15,True
2020-04-01,7.0,7,False
2020-04-02,9.0,4,False
2020-04-03,9.0,5,False
2020-04-04,12.0,5,False
2020-04-05,13.0,6,False
2020-04-06,14.0,5,False
2020-04-07,15.0,6,False
2020-04-08,15.0,6,False
2020-04-09,16.0,4,False
2020-04-10,16.0,4,False
2020-04-11,18.0,6,False
2020-04-12,17.0,7,False
2020-04-13,17.0,8,False
2020-04-14,17.0,20,False
2020-04-15,12.0,10,False
2020-04-16,13.0,5,False
2020-04-17,16.0,6,False
2020-04-18,17.0,6,False
2020-04-19,17.0,7,True
