LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/8/2022;"28";"20";"35";"15";"49";"20";"6";"9";"0";"1014";"0";"0";""
Milano;2/8/2022;"27";"22";"32";"15";"48";"21";"11";"24";"0";"1015";"0";"0";""
Milano;3/8/2022;"28";"21";"34";"16";"50";"20";"6";"9";"0";"1016";"0";"0";""
Milano;4/8/2022;"29";"23";"35";"17";"50";"20";"6";"11";"0";"1015";"0";"0";""
Milano;5/8/2022;"29";"22";"36";"18";"53";"20";"6";"13";"0";"1013";"0";"0";""
Milano;6/8/2022;"29";"23";"35";"18";"54";"20";"9";"18";"0";"1013";"0";"0";"pioggia temporale "
Milano;7/8/2022;"26";"22";"30";"17";"59";"19";"11";"22";"0";"1016";"0";"0";"pioggia temporale "
Milano;8/8/2022;"25";"19";"31";"17";"63";"18";"6";"13";"0";"1016";"0";"0";"pioggia "
Milano;9/8/2022;"28";"22";"32";"17";"51";"20";"9";"13";"0";"1018";"0";"0";""
Milano;10/8/2022;"27";"23";"32";"14";"46";"21";"11";"18";"0";"1019";"0";"0";""
Milano;11/8/2022;"27";"23";"31";"13";"43";"20";"11";"17";"0";"1017";"0";"0";""
Milano;12/8/2022;"26";"21";"30";"13";"46";"20";"16";"31";"0";"1014";"0";"0";"pioggia temporale "
Milano;13/8/2022;"23";"16";"29";"13";"58";"20";"9";"21";"0";"1014";"0";"0";""
Milano;14/8/2022;"25";"18";"31";"13";"51";"21";"6";"17";"0";"1010";"0";"0";""
Milano;15/8/2022;"25";"18";"31";"15";"57";"19";"8";"31";"0";"1007";"0";"0";"pioggia temporale "
Milano;16/8/2022;"25";"19";"32";"17";"64";"18";"7";"13";"0";"1010";"0";"0";""
Milano;17/8/2022;"25";"22";"29";"19";"72";"19";"9";"17";"0";"1013";"0";"0";"pioggia "
Milano;18/8/2022;"22";"20";"24";"20";"87";"17";"9";"26";"0";"1011";"0";"0";"pioggia temporale "
Milano;19/8/2022;"23";"19";"29";"17";"74";"20";"6";"11";"0";"1010";"0";"0";"pioggia temporale "
Milano;20/8/2022;"26";"18";"33";"16";"60";"19";"7";"13";"0";"1011";"0";"0";""
Milano;21/8/2022;"26";"19";"32";"15";"56";"18";"6";"11";"0";"1011";"0";"0";""
Milano;22/8/2022;"26";"20";"31";"15";"52";"20";"6";"13";"0";"1009";"0";"0";""
Milano;23/8/2022;"26";"19";"31";"14";"52";"20";"8";"13";"0";"1012";"0";"0";""
Milano;24/8/2022;"26";"20";"30";"15";"51";"21";"9";"15";"0";"1015";"0";"0";""
Milano;25/8/2022;"26";"19";"32";"16";"57";"19";"5";"13";"0";"1014";"0";"0";""
Milano;26/8/2022;"26";"20";"31";"17";"56";"20";"7";"15";"0";"1011";"0";"0";""
Milano;27/8/2022;"25";"21";"29";"17";"63";"21";"10";"22";"0";"1010";"0";"0";""
Milano;28/8/2022;"25";"20";"31";"18";"63";"20";"7";"13";"0";"1013";"0";"0";""
Milano;29/8/2022;"26";"20";"32";"18";"62";"20";"6";"11";"0";"1016";"0";"0";"pioggia temporale "
Milano;30/8/2022;"26";"22";"30";"19";"66";"21";"8";"17";"0";"1017";"0";"0";"pioggia temporale "
Milano;31/8/2022;"23";"19";"27";"18";"75";"19";"8";"13";"0";"1014";"0";"0";"pioggia "
