data_giorno;numero_transiti_giornalieri
2023-11-30 00:00:00+01:00;142785
2023-11-29 00:00:00+01:00;144304
2023-11-28 00:00:00+01:00;145418
2023-11-27 00:00:00+01:00;134512
2023-11-26 00:00:00+01:00;107518
2023-11-25 00:00:00+01:00;136260
2023-11-24 00:00:00+01:00;151301
2023-11-23 00:00:00+01:00;150021
2023-11-22 00:00:00+01:00;145428
2023-11-21 00:00:00+01:00;143971
2023-11-20 00:00:00+01:00;132995
2023-11-19 00:00:00+01:00;107920
2023-11-18 00:00:00+01:00;132845
2023-11-17 00:00:00+01:00;144304
2023-11-16 00:00:00+01:00;150028
2023-11-15 00:00:00+01:00;145014
2023-11-14 00:00:00+01:00;140546
2023-11-13 00:00:00+01:00;132549
2023-11-12 00:00:00+01:00;104777
2023-11-11 00:00:00+01:00;133407
2023-11-10 00:00:00+01:00;158396
2023-11-09 00:00:00+01:00;144609
2023-11-08 00:00:00+01:00;148247
2023-11-07 00:00:00+01:00;145461
2023-11-06 00:00:00+01:00;132746
2023-11-05 00:00:00+01:00;103664
2023-11-04 00:00:00+01:00;121588
2023-11-03 00:00:00+01:00;125744
2023-11-02 00:00:00+01:00;116332
2023-11-01 00:00:00+01:00;95012
2023-10-31 00:00:00+01:00;138510
2023-10-30 00:00:00+01:00;120605
2023-10-29 00:00:00+02:00;99649
2023-10-28 00:00:00+02:00;127616
2023-10-27 00:00:00+02:00;146964
2023-10-26 00:00:00+02:00;150755
2023-10-25 00:00:00+02:00;146540
2023-10-24 00:00:00+02:00;137874
2023-10-23 00:00:00+02:00;134909
2023-10-22 00:00:00+02:00;107219
2023-10-21 00:00:00+02:00;133387
2023-10-20 00:00:00+02:00;147335
2023-10-19 00:00:00+02:00;145590
2023-10-18 00:00:00+02:00;146036
2023-10-17 00:00:00+02:00;146985
2023-10-16 00:00:00+02:00;138836
2023-10-15 00:00:00+02:00;108515
2023-10-14 00:00:00+02:00;132366
2023-10-13 00:00:00+02:00;149084
2023-10-12 00:00:00+02:00;154065
2023-10-11 00:00:00+02:00;151311
2023-10-10 00:00:00+02:00;146267
2023-10-09 00:00:00+02:00;146015
2023-10-08 00:00:00+02:00;106796
2023-10-07 00:00:00+02:00;130928
2023-10-06 00:00:00+02:00;150811
2023-10-05 00:00:00+02:00;155105
2023-10-04 00:00:00+02:00;150466
2023-10-03 00:00:00+02:00;147392
2023-10-02 00:00:00+02:00;137307
2023-10-01 00:00:00+02:00;104678
2023-09-30 00:00:00+02:00;127861
2023-09-29 00:00:00+02:00;148623
2023-09-28 00:00:00+02:00;153086
2023-09-27 00:00:00+02:00;151052
2023-09-26 00:00:00+02:00;148017
2023-09-25 00:00:00+02:00;140081
2023-09-24 00:00:00+02:00;119642
2023-09-23 00:00:00+02:00;138667
2023-09-22 00:00:00+02:00;155633
2023-09-21 00:00:00+02:00;161050
2023-09-20 00:00:00+02:00;160785
2023-09-19 00:00:00+02:00;156198
2023-09-18 00:00:00+02:00;147268
2023-09-17 00:00:00+02:00;106164
2023-09-16 00:00:00+02:00;126076
2023-09-15 00:00:00+02:00;145369
2023-09-14 00:00:00+02:00;152880
2023-09-13 00:00:00+02:00;148115
2023-09-12 00:00:00+02:00;146834
2023-09-11 00:00:00+02:00;134255
2023-09-10 00:00:00+02:00;97574
2023-09-09 00:00:00+02:00;114692
2023-09-08 00:00:00+02:00;135433
2023-09-07 00:00:00+02:00;140802
2023-09-06 00:00:00+02:00;137494
2023-09-05 00:00:00+02:00;135900
2023-09-04 00:00:00+02:00;124126
2023-09-03 00:00:00+02:00;91745
2023-09-02 00:00:00+02:00;103028
2023-09-01 00:00:00+02:00;111291
2023-08-31 00:00:00+02:00;106940
2023-08-30 00:00:00+02:00;102552
2023-08-29 00:00:00+02:00;97921
2023-08-28 00:00:00+02:00;81155
2023-08-27 00:00:00+02:00;59303
2023-08-26 00:00:00+02:00;60208
2023-08-25 00:00:00+02:00;63508
2023-08-24 00:00:00+02:00;60894
2023-08-23 00:00:00+02:00;58934
2023-08-22 00:00:00+02:00;57286
2023-08-21 00:00:00+02:00;53117
2023-08-20 00:00:00+02:00;41585
2023-08-19 00:00:00+02:00;45376
2023-08-18 00:00:00+02:00;45237
2023-08-17 00:00:00+02:00;45500
2023-08-16 00:00:00+02:00;42213
2023-08-15 00:00:00+02:00;34556
2023-08-14 00:00:00+02:00;39785
2023-08-13 00:00:00+02:00;39109
2023-08-12 00:00:00+02:00;49240
2023-08-11 00:00:00+02:00;55280
2023-08-10 00:00:00+02:00;58077
2023-08-09 00:00:00+02:00;61992
2023-08-08 00:00:00+02:00;63501
2023-08-07 00:00:00+02:00;62939
2023-08-06 00:00:00+02:00;53210
2023-08-05 00:00:00+02:00;69654
2023-08-04 00:00:00+02:00;83309
2023-08-03 00:00:00+02:00;99162
2023-08-02 00:00:00+02:00;103831
2023-08-01 00:00:00+02:00;105498
2023-07-31 00:00:00+02:00;103581
2023-07-30 00:00:00+02:00;70082
2023-07-29 00:00:00+02:00;88787
2023-07-28 00:00:00+02:00;116338
2023-07-27 00:00:00+02:00;134452
2023-07-26 00:00:00+02:00;135525
2023-07-25 00:00:00+02:00;133474
2023-07-24 00:00:00+02:00;115539
2023-07-23 00:00:00+02:00;75844
2023-07-22 00:00:00+02:00;89721
2023-07-21 00:00:00+02:00;117295
2023-07-20 00:00:00+02:00;135286
2023-07-19 00:00:00+02:00;137029
2023-07-18 00:00:00+02:00;137421
2023-07-17 00:00:00+02:00;123149
2023-07-16 00:00:00+02:00;75362
2023-07-15 00:00:00+02:00;92393
2023-07-14 00:00:00+02:00;123314
2023-07-13 00:00:00+02:00;139668
2023-07-12 00:00:00+02:00;140495
2023-07-11 00:00:00+02:00;137268
2023-07-10 00:00:00+02:00;123614
2023-07-09 00:00:00+02:00;78181
2023-07-08 00:00:00+02:00;95911
2023-07-07 00:00:00+02:00;129870
