LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/7/2022;"28";"22";"32";"16";"50";"20";"8";"13";"0";"1012";"0";"0";""
Milano;2/7/2022;"28";"20";"34";"16";"50";"20";"7";"13";"0";"1017";"0";"0";""
Milano;3/7/2022;"29";"21";"36";"18";"53";"20";"5";"11";"0";"1016";"0";"0";""
Milano;4/7/2022;"28";"22";"34";"17";"53";"20";"10";"41";"0";"1015";"0";"0";"pioggia temporale "
Milano;5/7/2022;"28";"20";"34";"18";"58";"20";"9";"18";"0";"1014";"0";"0";"pioggia temporale "
Milano;6/7/2022;"28";"23";"32";"17";"53";"19";"11";"15";"0";"1016";"0";"0";""
Milano;7/7/2022;"28";"22";"33";"14";"45";"20";"13";"39";"0";"1015";"0";"0";""
Milano;8/7/2022;"26";"19";"32";"14";"53";"18";"10";"21";"0";"1019";"0";"0";""
Milano;9/7/2022;"26";"20";"30";"13";"45";"19";"11";"21";"0";"1020";"0";"0";""
Milano;10/7/2022;"27";"19";"32";"12";"41";"21";"9";"17";"0";"1016";"0";"0";""
Milano;11/7/2022;"27";"22";"31";"15";"47";"20";"11";"21";"0";"1016";"0";"0";""
Milano;12/7/2022;"27";"22";"31";"15";"50";"19";"12";"18";"0";"1019";"0";"0";""
Milano;13/7/2022;"27";"22";"32";"16";"53";"20";"10";"18";"0";"1022";"0";"0";""
Milano;14/7/2022;"28";"21";"34";"17";"54";"20";"6";"11";"0";"1018";"0";"0";""
Milano;15/7/2022;"29";"24";"36";"17";"48";"21";"9";"13";"0";"1013";"0";"0";""
Milano;16/7/2022;"29";"24";"34";"17";"51";"21";"8";"15";"0";"1015";"0";"0";""
Milano;17/7/2022;"29";"25";"34";"18";"51";"19";"11";"21";"0";"1019";"0";"0";""
Milano;18/7/2022;"29";"25";"34";"16";"47";"20";"11";"17";"0";"1021";"0";"0";""
Milano;19/7/2022;"30";"22";"34";"15";"42";"21";"9";"13";"0";"1019";"0";"0";""
Milano;20/7/2022;"30";"23";"35";"13";"37";"20";"9";"13";"0";"1018";"0";"0";""
Milano;21/7/2022;"31";"26";"36";"15";"38";"19";"8";"13";"0";"1016";"0";"0";""
Milano;22/7/2022;"30";"22";"36";"16";"45";"21";"6";"15";"0";"1015";"0";"0";""
Milano;23/7/2022;"30";"23";"34";"19";"52";"19";"8";"13";"0";"1015";"0";"0";""
Milano;24/7/2022;"30";"25";"35";"20";"59";"19";"6";"13";"0";"1015";"0";"0";""
Milano;25/7/2022;"30";"23";"36";"19";"52";"20";"7";"17";"0";"1013";"0";"0";"pioggia temporale "
Milano;26/7/2022;"28";"20";"34";"19";"60";"21";"10";"30";"0";"1009";"0";"0";"pioggia temporale "
Milano;27/7/2022;"26";"20";"31";"17";"60";"21";"9";"39";"0";"1011";"0";"0";"pioggia temporale "
Milano;28/7/2022;"27";"22";"32";"17";"55";"19";"13";"18";"0";"1013";"0";"0";"pioggia temporale "
Milano;29/7/2022;"24";"20";"31";"19";"74";"18";"6";"21";"0";"1014";"0";"0";"pioggia temporale "
Milano;30/7/2022;"25";"19";"32";"18";"68";"17";"7";"15";"0";"1014";"0";"0";""
Milano;31/7/2022;"26";"18";"33";"14";"50";"20";"5";"13";"0";"1015";"0";"0";""
