LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/11/2022;"14";"11";"19";"13";"95";"15";"4";"9";"0";"1023";"0";"0";"pioggia nebbia "
Milano;2/11/2022;"14";"12";"16";"13";"93";"6";"4";"9";"0";"1023";"0";"0";"nebbia "
Milano;3/11/2022;"15";"14";"16";"14";"95";"6";"7";"21";"0";"1018";"0";"0";"pioggia nebbia "
Milano;4/11/2022;"13";"9";"17";"9";"77";"17";"12";"26";"0";"1004";"0";"0";"pioggia "
Milano;5/11/2022;"11";"6";"19";"7";"78";"19";"5";"11";"0";"1011";"0";"0";""
Milano;6/11/2022;"9";"4";"16";"5";"80";"21";"3";"8";"0";"1018";"0";"0";"nebbia "
Milano;7/11/2022;"9";"4";"16";"5";"80";"19";"3";"8";"0";"1020";"0";"0";"nebbia "
Milano;8/11/2022;"12";"10";"16";"8";"76";"20";"4";"11";"0";"1021";"0";"0";"pioggia "
Milano;9/11/2022;"12";"12";"13";"11";"94";"10";"3";"8";"0";"1020";"0";"0";"pioggia "
Milano;10/11/2022;"12";"9";"15";"12";"98";"4";"5";"9";"0";"1025";"0";"0";"pioggia nebbia "
Milano;11/11/2022;"11";"6";"17";"10";"94";"9";"4";"11";"0";"1033";"0";"0";"nebbia "
Milano;12/11/2022;"10";"7";"14";"9";"96";"8";"5";"9";"0";"1030";"0";"0";"nebbia "
Milano;13/11/2022;"11";"7";"15";"8";"84";"18";"6";"11";"0";"1025";"0";"0";"pioggia nebbia "
Milano;14/11/2022;"10";"7";"12";"9";"94";"12";"6";"11";"0";"1023";"0";"0";"pioggia "
Milano;15/11/2022;"8";"5";"9";"8";"100";"7";"4";"8";"0";"1017";"0";"0";"pioggia nebbia "
Milano;16/11/2022;"10";"9";"12";"9";"95";"12";"6";"9";"0";"1005";"0";"0";"pioggia "
Milano;17/11/2022;"9";"6";"12";"9";"96";"8";"3";"8";"0";"1002";"0";"0";"nebbia "
Milano;18/11/2022;"12";"9";"16";"9";"85";"14";"9";"17";"0";"1000";"0";"0";""
Milano;19/11/2022;"8";"5";"13";"7";"90";"16";"5";"9";"0";"1006";"0";"0";"nebbia "
Milano;20/11/2022;"6";"1";"14";"3";"85";"14";"4";"8";"0";"1010";"0";"0";"nebbia "
Milano;21/11/2022;"7";"0";"13";"4";"82";"15";"7";"21";"0";"1007";"0";"0";"pioggia nebbia "
Milano;22/11/2022;"8";"4";"11";"7";"95";"15";"9";"15";"0";"996";"0";"0";"pioggia nebbia "
Milano;23/11/2022;"5";"0";"12";"4";"92";"12";"4";"9";"0";"1003";"0";"0";"nebbia "
Milano;24/11/2022;"7";"2";"15";"3";"78";"20";"6";"11";"0";"1013";"0";"0";""
Milano;25/11/2022;"7";"4";"11";"5";"86";"17";"5";"9";"0";"1019";"0";"0";"nebbia "
Milano;26/11/2022;"6";"1";"13";"4";"92";"10";"4";"9";"0";"1026";"0";"0";"nebbia "
Milano;27/11/2022;"5";"0";"11";"3";"88";"18";"3";"9";"0";"1027";"0";"0";"nebbia "
Milano;28/11/2022;"6";"4";"9";"4";"86";"19";"4";"9";"0";"1019";"0";"0";""
Milano;29/11/2022;"6";"4";"8";"4";"87";"18";"3";"5";"0";"1017";"0";"0";"pioggia "
Milano;30/11/2022;"3";"0";"6";"3";"97";"7";"4";"9";"0";"1018";"0";"0";"nebbia "
