LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/2/2023;"7";"0";"14";"4";"69";"23";"8";"18";"0";"1020";"0";"0";""
Milano;2/2/2023;"10";"3";"16";"2";"56";"19";"12";"22";"0";"1022";"0";"0";""
Milano;3/2/2023;"8";"0";"15";"4";"66";"20";"10";"26";"0";"1024";"0";"0";""
Milano;4/2/2023;"12";"6";"21";"3";"53";"19";"19";"30";"0";"1021";"0";"0";""
Milano;5/2/2023;"6";"3";"10";"1";"61";"21";"12";"24";"0";"1031";"0";"0";""
Milano;6/2/2023;"5";"3";"6";"0";"66";"20";"12";"24";"0";"1033";"0";"0";""
Milano;7/2/2023;"3";"-2";"7";"0";"59";"20";"9";"21";"0";"1036";"0";"0";""
Milano;8/2/2023;"2";"-5";"6";"0";"60";"19";"9";"18";"0";"1037";"0";"0";""
Milano;9/2/2023;"2";"-1";"6";"0";"47";"20";"7";"15";"0";"1037";"0";"0";""
Milano;10/2/2023;"1";"-5";"8";"0";"62";"20";"4";"8";"0";"1037";"0";"0";""
Milano;11/2/2023;"2";"-4";"10";"0";"63";"21";"5";"11";"0";"1035";"0";"0";""
Milano;12/2/2023;"6";"-2";"14";"0";"54";"20";"5";"15";"0";"1033";"0";"0";""
Milano;13/2/2023;"6";"-2";"13";"1";"66";"19";"4";"9";"0";"1037";"0";"0";""
Milano;14/2/2023;"6";"-1";"15";"1";"72";"16";"5";"15";"0";"1033";"0";"0";""
Milano;15/2/2023;"7";"-1";"17";"2";"70";"18";"3";"9";"0";"1029";"0";"0";"nebbia "
Milano;16/2/2023;"8";"0";"16";"4";"75";"18";"7";"15";"0";"1028";"0";"0";""
Milano;17/2/2023;"9";"1";"16";"5";"77";"17";"7";"18";"0";"1029";"0";"0";"nebbia "
Milano;18/2/2023;"10";"3";"16";"5";"74";"21";"9";"17";"0";"1027";"0";"0";""
Milano;19/2/2023;"9";"2";"16";"6";"83";"17";"8";"21";"0";"1023";"0";"0";"nebbia "
Milano;20/2/2023;"8";"4";"13";"6";"89";"8";"4";"8";"0";"1026";"0";"0";"nebbia "
Milano;21/2/2023;"8";"1";"15";"5";"87";"9";"5";"13";"0";"1021";"0";"0";"pioggia nebbia "
Milano;22/2/2023;"10";"9";"13";"8";"83";"5";"5";"11";"0";"1017";"0";"0";""
Milano;23/2/2023;"11";"9";"15";"8";"82";"9";"5";"9";"0";"1015";"0";"0";""
Milano;24/2/2023;"11";"8";"14";"9";"88";"5";"4";"8";"0";"1011";"0";"0";"pioggia "
Milano;25/2/2023;"11";"7";"16";"8";"86";"14";"7";"18";"0";"1001";"0";"0";"nebbia "
Milano;26/2/2023;"5";"3";"7";"3";"85";"20";"13";"35";"0";"1003";"0";"0";"pioggia "
Milano;27/2/2023;"4";"2";"6";"2";"80";"21";"9";"17";"0";"1017";"0";"0";"pioggia "
Milano;28/2/2023;"5";"3";"9";"0";"63";"22";"6";"15";"0";"1022";"0";"0";""
