LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/6/2023;"22";"17";"27";"13";"59";"21";"5";"9";"0";"1016";"0";"0";""
Milano;2/6/2023;"23";"17";"30";"14";"59";"19";"6";"13";"0";"1012";"0";"0";"pioggia temporale "
Milano;3/6/2023;"21";"16";"25";"15";"70";"20";"8";"22";"0";"1015";"0";"0";"pioggia temporale "
Milano;4/6/2023;"20";"16";"24";"15";"73";"19";"10";"22";"0";"1016";"0";"0";"pioggia temporale "
Milano;5/6/2023;"19";"16";"22";"15";"81";"20";"7";"18";"0";"1016";"0";"0";"pioggia "
Milano;6/6/2023;"22";"15";"27";"15";"68";"17";"6";"17";"0";"1015";"0";"0";""
Milano;7/6/2023;"21";"17";"26";"15";"68";"19";"9";"13";"0";"1016";"0";"0";"pioggia temporale "
Milano;8/6/2023;"23";"17";"28";"15";"63";"20";"6";"11";"0";"1014";"0";"0";""
Milano;9/6/2023;"22";"18";"28";"16";"66";"18";"6";"13";"0";"1012";"0";"0";""
Milano;10/6/2023;"23";"20";"27";"16";"68";"19";"6";"11";"0";"1011";"0";"0";""
Milano;11/6/2023;"23";"17";"29";"16";"67";"20";"7";"15";"0";"1012";"0";"0";"pioggia temporale "
Milano;12/6/2023;"23";"18";"27";"16";"68";"19";"8";"17";"0";"1012";"0";"0";"pioggia temporale "
Milano;13/6/2023;"21";"19";"24";"16";"70";"20";"11";"22";"0";"1010";"0";"0";""
Milano;14/6/2023;"21";"18";"26";"16";"74";"19";"8";"17";"0";"1011";"0";"0";"pioggia "
Milano;15/6/2023;"23";"18";"27";"15";"63";"21";"7";"13";"0";"1013";"0";"0";"pioggia temporale "
Milano;16/6/2023;"24";"18";"30";"14";"55";"19";"8";"15";"0";"1013";"0";"0";""
Milano;17/6/2023;"24";"18";"30";"13";"53";"19";"8";"17";"0";"1014";"0";"0";""
Milano;18/6/2023;"24";"17";"30";"14";"56";"19";"6";"15";"0";"1015";"0";"0";"pioggia "
Milano;19/6/2023;"25";"19";"31";"16";"61";"19";"7";"13";"0";"1016";"0";"0";""
Milano;20/6/2023;"26";"19";"30";"14";"49";"20";"7";"11";"0";"1017";"0";"0";""
Milano;21/6/2023;"27";"19";"31";"15";"50";"21";"8";"13";"0";"1018";"0";"0";""
Milano;22/6/2023;"27";"21";"33";"18";"60";"20";"6";"18";"0";"1017";"0";"0";""
Milano;23/6/2023;"28";"21";"33";"13";"43";"21";"12";"28";"0";"1014";"0";"0";""
Milano;24/6/2023;"26";"18";"32";"10";"39";"20";"8";"15";"0";"1017";"0";"0";""
Milano;25/6/2023;"26";"21";"31";"14";"50";"20";"9";"15";"0";"1017";"0";"0";""
Milano;26/6/2023;"27";"19";"33";"16";"54";"20";"6";"11";"0";"1015";"0";"0";""
Milano;27/6/2023;"28";"20";"33";"18";"57";"20";"6";"13";"0";"1012";"0";"0";""
Milano;28/6/2023;"25";"20";"29";"16";"59";"21";"14";"24";"0";"1013";"0";"0";""
Milano;29/6/2023;"25";"21";"29";"14";"52";"18";"10";"21";"0";"1015";"0";"0";""
Milano;30/6/2023;"20";"18";"23";"17";"85";"16";"8";"13";"0";"1012";"0";"0";"pioggia temporale "
