LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/5/2023;"16";"13";"18";"10";"69";"20";"10";"26";"0";"1015";"0";"0";"pioggia "
Milano;2/5/2023;"16";"12";"20";"12";"79";"18";"9";"18";"0";"1015";"0";"0";"pioggia "
Milano;3/5/2023;"16";"11";"21";"11";"72";"19";"6";"15";"0";"1020";"0";"0";""
Milano;4/5/2023;"19";"15";"23";"10";"57";"20";"7";"11";"0";"1020";"0";"0";""
Milano;5/5/2023;"20";"14";"26";"11";"59";"21";"5";"9";"0";"1018";"0";"0";""
Milano;6/5/2023;"21";"14";"27";"12";"58";"20";"5";"9";"0";"1015";"0";"0";""
Milano;7/5/2023;"21";"17";"26";"12";"56";"20";"9";"24";"0";"1015";"0";"0";"pioggia temporale "
Milano;8/5/2023;"19";"15";"22";"13";"72";"18";"10";"18";"0";"1018";"0";"0";"pioggia temporale "
Milano;9/5/2023;"19";"15";"22";"13";"70";"18";"14";"21";"0";"1016";"0";"0";"pioggia "
Milano;10/5/2023;"14";"13";"15";"12";"91";"15";"12";"22";"0";"1012";"0";"0";"pioggia "
Milano;11/5/2023;"15";"13";"20";"11";"76";"19";"8";"26";"0";"1010";"0";"0";"pioggia temporale "
Milano;12/5/2023;"14";"12";"18";"11";"85";"18";"8";"15";"0";"1013";"0";"0";"pioggia "
Milano;13/5/2023;"15";"11";"20";"11";"77";"19";"9";"24";"0";"1016";"0";"0";""
Milano;14/5/2023;"15";"12";"20";"11";"79";"19";"9";"18";"0";"1012";"0";"0";"pioggia temporale "
Milano;15/5/2023;"16";"9";"22";"11";"75";"20";"7";"18";"0";"1008";"0";"0";""
Milano;16/5/2023;"16";"12";"19";"12";"80";"19";"7";"17";"0";"1005";"0";"0";"pioggia "
Milano;17/5/2023;"16";"14";"19";"12";"80";"20";"6";"13";"0";"1011";"0";"0";"pioggia "
Milano;18/5/2023;"17";"13";"20";"11";"70";"20";"7";"13";"0";"1017";"0";"0";"pioggia "
Milano;19/5/2023;"15";"14";"17";"12";"81";"16";"10";"18";"0";"1018";"0";"0";"pioggia "
Milano;20/5/2023;"15";"14";"16";"14";"93";"20";"9";"15";"0";"1015";"0";"0";"pioggia "
Milano;21/5/2023;"19";"15";"26";"13";"72";"20";"7";"13";"0";"1013";"0";"0";"pioggia "
Milano;22/5/2023;"22";"15";"28";"14";"63";"22";"5";"9";"0";"1013";"0";"0";"pioggia temporale "
Milano;23/5/2023;"22";"14";"29";"14";"65";"19";"4";"11";"0";"1012";"0";"0";""
Milano;24/5/2023;"20";"15";"27";"14";"68";"18";"8";"26";"0";"1013";"0";"0";"pioggia temporale "
Milano;25/5/2023;"20";"16";"25";"14";"69";"19";"10";"22";"0";"1018";"0";"0";"pioggia temporale "
Milano;26/5/2023;"23";"15";"29";"13";"61";"21";"5";"9";"0";"1018";"0";"0";""
Milano;27/5/2023;"22";"18";"26";"14";"62";"21";"13";"21";"0";"1018";"0";"0";"pioggia temporale "
Milano;28/5/2023;"22";"18";"27";"15";"66";"19";"8";"13";"0";"1015";"0";"0";"pioggia temporale nebbia "
Milano;29/5/2023;"22";"17";"27";"14";"62";"20";"7";"18";"0";"1014";"0";"0";"pioggia temporale "
Milano;30/5/2023;"23";"17";"27";"14";"58";"19";"9";"21";"0";"1015";"0";"0";"pioggia "
Milano;31/5/2023;"22";"16";"26";"13";"58";"21";"9";"15";"0";"1017";"0";"0";"pioggia temporale "
