LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/10/2023;"20";"14";"27";"14";"72";"18";"4";"9";"0";"1024";"0";"0";"nebbia "
Milano;2/10/2023;"20";"14";"28";"15";"76";"15";"3";"5";"0";"1025";"0";"0";"nebbia "
Milano;3/10/2023;"21";"15";"27";"16";"75";"12";"4";"11";"0";"1022";"0";"0";"nebbia "
Milano;4/10/2023;"21";"18";"25";"16";"73";"18";"7";"15";"0";"1022";"0";"0";""
Milano;5/10/2023;"21";"16";"26";"14";"66";"21";"5";"9";"0";"1024";"0";"0";""
Milano;6/10/2023;"20";"15";"25";"15";"75";"19";"4";"8";"0";"1024";"0";"0";""
Milano;7/10/2023;"19";"14";"26";"15";"78";"19";"5";"11";"0";"1023";"0";"0";"nebbia "
Milano;8/10/2023;"21";"14";"30";"14";"71";"17";"6";"15";"0";"1023";"0";"0";"nebbia "
Milano;9/10/2023;"21";"14";"30";"13";"65";"17";"7";"15";"0";"1021";"0";"0";""
Milano;10/10/2023;"22";"14";"29";"15";"69";"18";"5";"15";"0";"1020";"0";"0";"nebbia "
Milano;11/10/2023;"20";"15";"26";"16";"77";"18";"3";"8";"0";"1021";"0";"0";""
Milano;12/10/2023;"21";"17";"25";"16";"73";"20";"5";"11";"0";"1020";"0";"0";""
Milano;13/10/2023;"21";"19";"26";"15";"68";"19";"5";"11";"0";"1020";"0";"0";""
Milano;14/10/2023;"20";"15";"25";"15";"73";"21";"6";"13";"0";"1015";"0";"0";""
Milano;15/10/2023;"19";"13";"26";"12";"63";"18";"9";"26";"0";"1011";"0";"0";"nebbia "
Milano;16/10/2023;"15";"13";"18";"5";"52";"20";"10";"18";"0";"1019";"0";"0";""
Milano;17/10/2023;"12";"7";"18";"5";"64";"19";"4";"9";"0";"1018";"0";"0";""
Milano;18/10/2023;"13";"12";"14";"8";"75";"17";"6";"9";"0";"1015";"0";"0";"pioggia "
Milano;19/10/2023;"13";"12";"14";"12";"96";"3";"4";"9";"0";"1005";"0";"0";"pioggia "
Milano;20/10/2023;"16";"13";"20";"15";"91";"12";"11";"24";"0";"992";"0";"0";"pioggia "
Milano;21/10/2023;"17";"14";"21";"14";"81";"21";"6";"17";"0";"1000";"0";"0";"pioggia temporale "
Milano;22/10/2023;"17";"13";"21";"12";"77";"20";"5";"13";"0";"1011";"0";"0";"pioggia "
Milano;23/10/2023;"15";"13";"18";"12";"82";"21";"5";"9";"0";"1016";"0";"0";"pioggia "
Milano;24/10/2023;"15";"14";"15";"14";"95";"14";"4";"9";"0";"1008";"0";"0";"pioggia "
Milano;25/10/2023;"14";"11";"17";"13";"94";"7";"5";"8";"0";"1004";"0";"0";"nebbia "
Milano;26/10/2023;"14";"12";"16";"13";"92";"4";"6";"11";"0";"1001";"0";"0";"pioggia "
Milano;27/10/2023;"16";"13";"22";"13";"83";"13";"9";"18";"0";"995";"0";"0";"pioggia "
Milano;28/10/2023;"14";"9";"19";"11";"85";"19";"5";"11";"0";"1005";"0";"0";"nebbia "
Milano;29/10/2023;"15";"12";"16";"12";"83";"19";"10";"17";"0";"1012";"0";"0";"pioggia "
Milano;30/10/2023;"15";"14";"17";"14";"96";"11";"7";"18";"0";"1007";"0";"0";"pioggia temporale "
Milano;31/10/2023;"14";"9";"19";"10";"75";"17";"13";"44";"0";"1006";"0";"0";"pioggia temporale "
