LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/1/2024;"6";"5";"8";"5";"94";"9";"7";"13";"0";"1013";"0";"0";"nebbia "
Milano;2/1/2024;"4";"3";"6";"4";"97";"9";"5";"9";"0";"1014";"0";"0";"pioggia nebbia "
Milano;3/1/2024;"6";"4";"9";"4";"86";"19";"6";"11";"0";"1008";"0";"0";""
Milano;4/1/2024;"6";"2";"14";"3";"80";"20";"5";"11";"0";"1009";"0";"0";""
Milano;5/1/2024;"6";"5";"6";"5";"96";"5";"7";"11";"0";"1007";"0";"0";"pioggia "
Milano;6/1/2024;"6";"5";"7";"5";"97";"6";"7";"9";"0";"999";"0";"0";"pioggia "
Milano;7/1/2024;"7";"6";"9";"6";"91";"14";"4";"8";"0";"1001";"0";"0";"pioggia "
Milano;8/1/2024;"8";"7";"10";"5";"80";"20";"6";"11";"0";"1010";"0";"0";"pioggia "
Milano;9/1/2024;"7";"6";"8";"2";"70";"19";"10";"18";"0";"1022";"0";"0";""
Milano;10/1/2024;"4";"3";"6";"0";"64";"21";"6";"11";"0";"1027";"0";"0";""
Milano;11/1/2024;"3";"-1";"8";"1";"77";"21";"4";"11";"0";"1024";"0";"0";""
Milano;12/1/2024;"2";"-2";"8";"2";"87";"12";"3";"5";"0";"1023";"0";"0";"nebbia "
Milano;13/1/2024;"0";"-3";"6";"1";"92";"5";"5";"11";"0";"1022";"0";"0";"nebbia "
Milano;14/1/2024;"0";"-3";"5";"1";"92";"5";"5";"11";"0";"1012";"0";"0";"nebbia "
Milano;15/1/2024;"3";"0";"9";"2";"90";"6";"5";"11";"0";"1002";"0";"0";"nebbia "
Milano;16/1/2024;"2";"-1";"8";"1";"90";"5";"6";"9";"0";"1009";"0";"0";"nebbia "
Milano;17/1/2024;"4";"2";"4";"3";"93";"2";"4";"11";"0";"1005";"0";"0";"pioggia "
Milano;18/1/2024;"5";"3";"6";"4";"91";"3";"7";"11";"0";"998";"0";"0";"pioggia "
Milano;19/1/2024;"5";"4";"7";"3";"89";"8";"9";"22";"0";"1009";"0";"0";"pioggia nebbia "
Milano;20/1/2024;"3";"-1";"9";"1";"69";"20";"5";"13";"0";"1029";"0";"0";""
Milano;21/1/2024;"1";"-3";"5";"0";"77";"21";"5";"11";"0";"1033";"0";"0";""
Milano;22/1/2024;"2";"-4";"9";"0";"71";"20";"5";"9";"0";"1030";"0";"0";""
Milano;23/1/2024;"4";"-1";"9";"0";"66";"19";"6";"13";"0";"1028";"0";"0";""
Milano;24/1/2024;"5";"-1";"13";"3";"75";"19";"4";"9";"0";"1028";"0";"0";""
Milano;25/1/2024;"5";"1";"10";"3";"87";"5";"7";"13";"0";"1025";"0";"0";""
Milano;26/1/2024;"3";"-1";"8";"3";"92";"2";"3";"8";"0";"1026";"0";"0";"pioggia nebbia "
Milano;27/1/2024;"5";"0";"14";"4";"89";"3";"7";"13";"0";"1029";"0";"0";"nebbia "
Milano;28/1/2024;"3";"1";"5";"3";"99";"1";"5";"9";"0";"1036";"0";"0";"nebbia "
Milano;29/1/2024;"2";"0";"4";"2";"100";"0";"4";"9";"0";"1036";"0";"0";"nebbia "
Milano;30/1/2024;"2";"-1";"8";"2";"92";"3";"4";"9";"0";"1036";"0";"0";"nebbia "
Milano;31/1/2024;"4";"-2";"11";"2";"85";"10";"3";"8";"0";"1033";"0";"0";"nebbia "
